IMG_3731.CR3: dx=0.00, dy=0.00, ok=True
IMG_3732.CR3: dx=0.00, dy=0.00, ok=True
IMG_3733.CR3: dx=0.00, dy=0.00, ok=True
IMG_3734.CR3: dx=0.00, dy=0.00, ok=True
IMG_3735.CR3: dx=0.00, dy=0.00, ok=True
IMG_3736.CR3: dx=0.00, dy=0.00, ok=True
IMG_3737.CR3: dx=0.00, dy=0.00, ok=True
IMG_3738.CR3: dx=0.00, dy=0.00, ok=True
IMG_3739.CR3: dx=0.00, dy=0.00, ok=True
IMG_3740.CR3: dx=0.00, dy=0.00, ok=True
IMG_3741.CR3: dx=0.00, dy=0.00, ok=True
IMG_3742.CR3: dx=0.00, dy=0.00, ok=True
IMG_3743.CR3: dx=0.00, dy=0.00, ok=True
IMG_3744.CR3: dx=0.00, dy=0.00, ok=True
IMG_3745.CR3: dx=0.00, dy=0.00, ok=True
IMG_3746.CR3: dx=0.00, dy=0.00, ok=True
IMG_3747.CR3: dx=0.00, dy=0.00, ok=True
IMG_3748.CR3: dx=0.00, dy=0.00, ok=True
IMG_3749.CR3: dx=0.00, dy=0.00, ok=True
IMG_3750.CR3: dx=0.00, dy=0.00, ok=True
IMG_3751.CR3: dx=0.00, dy=0.00, ok=True
IMG_3752.CR3: dx=0.00, dy=0.00, ok=True
IMG_3753.CR3: dx=0.00, dy=0.00, ok=True
IMG_3754.CR3: dx=0.00, dy=0.00, ok=True
IMG_3755.CR3: dx=0.00, dy=0.00, ok=True
IMG_3756.CR3: dx=0.00, dy=0.00, ok=True
IMG_3757.CR3: dx=0.00, dy=0.00, ok=True
IMG_3758.CR3: dx=0.00, dy=0.00, ok=True
IMG_3759.CR3: dx=0.00, dy=0.00, ok=True
IMG_3760.CR3: dx=0.00, dy=0.00, ok=True
IMG_3761.CR3: dx=0.00, dy=0.00, ok=True
IMG_3762.CR3: dx=0.00, dy=0.00, ok=True
IMG_3763.CR3: dx=0.00, dy=0.00, ok=True
IMG_3764.CR3: dx=0.00, dy=0.00, ok=True
IMG_3765.CR3: dx=0.00, dy=0.00, ok=True
IMG_3766.CR3: dx=0.00, dy=0.00, ok=True
IMG_3767.CR3: dx=0.00, dy=0.00, ok=True
IMG_3768.CR3: dx=0.00, dy=0.00, ok=True
IMG_3769.CR3: dx=0.00, dy=0.00, ok=True
IMG_3770.CR3: dx=0.00, dy=0.00, ok=True
IMG_3775.CR3: dx=0.00, dy=0.00, ok=True
IMG_3776.CR3: dx=0.00, dy=0.00, ok=True
IMG_3777.CR3: dx=0.00, dy=0.00, ok=True
IMG_3778.CR3: dx=0.00, dy=0.00, ok=True
IMG_3779.CR3: dx=0.00, dy=0.00, ok=True
IMG_3780.CR3: dx=0.00, dy=0.00, ok=True
IMG_3781.CR3: dx=0.00, dy=0.00, ok=True
IMG_3782.CR3: dx=0.00, dy=0.00, ok=True
IMG_3783.CR3: dx=0.00, dy=0.00, ok=True
IMG_3784.CR3: dx=0.00, dy=0.00, ok=True
IMG_3785.CR3: dx=0.00, dy=0.00, ok=True
IMG_3786.CR3: dx=0.00, dy=0.00, ok=True
IMG_3787.CR3: dx=0.00, dy=0.00, ok=True
IMG_3788.CR3: dx=0.00, dy=0.00, ok=True
IMG_3789.CR3: dx=0.00, dy=0.00, ok=True
IMG_3790.CR3: dx=0.00, dy=0.00, ok=True
