DSC_0135.NEF: dx=0.00, dy=0.25, ok=True
DSC_0136.NEF: dx=0.00, dy=0.00, ok=True
DSC_0137.NEF: dx=0.00, dy=0.25, ok=True
DSC_0138.NEF: dx=-0.25, dy=0.00, ok=True
DSC_0139.NEF: dx=-0.25, dy=0.00, ok=True
DSC_0140.NEF: dx=-2.50, dy=-2.75, ok=True
DSC_0141.NEF: dx=0.00, dy=0.00, ok=True
DSC_0142.NEF: dx=0.00, dy=-0.25, ok=True
DSC_0143.NEF: dx=0.00, dy=0.00, ok=True
DSC_0144.NEF: dx=-0.25, dy=-2.25, ok=True
DSC_0145.NEF: dx=0.00, dy=0.00, ok=True
DSC_0146.NEF: dx=-0.25, dy=-0.25, ok=True
DSC_0147.NEF: dx=0.25, dy=0.00, ok=True
DSC_0148.NEF: dx=0.25, dy=0.00, ok=True
DSC_0149.NEF: dx=2.00, dy=2.00, ok=True
DSC_0150.NEF: dx=0.00, dy=0.00, ok=True
DSC_0151.NEF: dx=0.00, dy=0.00, ok=True
DSC_0152.NEF: dx=0.00, dy=0.25, ok=True
DSC_0153.NEF: dx=0.00, dy=0.00, ok=True
DSC_0154.NEF: dx=0.00, dy=0.00, ok=True
DSC_0155.NEF: dx=0.00, dy=0.00, ok=True
DSC_0156.NEF: dx=0.00, dy=0.00, ok=True
DSC_0157.NEF: dx=0.00, dy=0.00, ok=True
DSC_0158.NEF: dx=0.00, dy=0.00, ok=True
DSC_0159.NEF: dx=0.00, dy=0.00, ok=True
DSC_0160.NEF: dx=0.00, dy=0.00, ok=True
DSC_0161.NEF: dx=0.00, dy=0.00, ok=True
DSC_0162.NEF: dx=0.00, dy=0.00, ok=True
DSC_0163.NEF: dx=0.00, dy=0.00, ok=True
DSC_0164.NEF: dx=0.00, dy=0.00, ok=True
DSC_0165.NEF: dx=0.00, dy=0.00, ok=True
DSC_0166.NEF: dx=0.00, dy=0.00, ok=True
DSC_0167.NEF: dx=0.00, dy=-0.25, ok=True
DSC_0168.NEF: dx=0.00, dy=0.00, ok=True
DSC_0169.NEF: dx=0.00, dy=0.00, ok=True
DSC_0170.NEF: dx=0.00, dy=0.00, ok=True
DSC_0171.NEF: dx=0.00, dy=-0.25, ok=True
DSC_0172.NEF: dx=0.00, dy=0.00, ok=True
DSC_0173.NEF: dx=0.00, dy=0.00, ok=True
DSC_0174.NEF: dx=0.00, dy=0.00, ok=True
DSC_0175.NEF: dx=0.00, dy=0.00, ok=True
DSC_0176.NEF: dx=0.00, dy=0.25, ok=True
DSC_0177.NEF: dx=0.25, dy=0.00, ok=True
DSC_0178.NEF: dx=0.00, dy=0.00, ok=True
DSC_0179.NEF: dx=0.25, dy=0.00, ok=True
DSC_0180.NEF: dx=0.00, dy=0.25, ok=True
DSC_0181.NEF: dx=0.00, dy=0.00, ok=True
DSC_0182.NEF: dx=0.00, dy=0.00, ok=True
DSC_0183.NEF: dx=0.00, dy=0.00, ok=True
DSC_0184.NEF: dx=-0.25, dy=0.00, ok=True
DSC_0185.NEF: dx=0.00, dy=0.00, ok=True
DSC_0186.NEF: dx=0.00, dy=0.00, ok=True
DSC_0187.NEF: dx=0.00, dy=0.00, ok=True
DSC_0188.NEF: dx=0.00, dy=0.00, ok=True
DSC_0189.NEF: dx=0.00, dy=0.00, ok=True
DSC_0190.NEF: dx=10.75, dy=-4.00, ok=True
